eq,parm,estimate,stderr,z,p,min95,max95
1870,1866.year,0,0,,,0,0
1870,1867.year,0,0,,,0,0
1870,1868.year,0,0,,,0,0
1870,1869.year,0,0,,,0,0
1870,1870.year,0,0,,,0,0
1870,1871.year,0,0,,,0,0
1870,1872.year,0,0,,,0,0
1870,1873.year,0,0,,,0,0
1870,1874.year,0,0,,,0,0
1870,1875.year,0,0,,,0,0
1870,1876.year,0,0,,,0,0
1870,1877.year,0,0,,,0,0
1870,1878.year,0,0,,,0,0
1870,1879.year,0,0,,,0,0
1870,1880.year,0,0,,,0,0
1870,1881.year,0,0,,,0,0
1870,1882.year,0,0,,,0,0
1870,1883.year,0,0,,,0,0
1870,1884.year,0,0,,,0,0
1870,1885.year,0,0,,,0,0
1870,1886.year,0,0,,,0,0
1870,1887.year,0,0,,,0,0
1870,1888.year,0,0,,,0,0
1870,1889.year,0,0,,,0,0
1870,1890.year,0,0,,,0,0
1870,1891.year,0,0,,,0,0
1870,1892.year,0,0,,,0,0
1870,1893.year,0,0,,,0,0
1870,1894.year,0,0,,,0,0
1870,1895.year,0,0,,,0,0
1870,1896.year,0,0,,,0,0
1870,1897.year,0,0,,,0,0
1870,1898.year,0,0,,,0,0
1870,1899.year,0,0,,,0,0
1870,1900.year,0,0,,,0,0
1870,1901.year,0,0,,,0,0
1870,1902.year,0,0,,,0,0
1870,1903.year,0,0,,,0,0
1870,1904.year,0,0,,,0,0
1870,1905.year,0,0,,,0,0
1870,1906.year,0,0,,,0,0
1870,1907.year,0,0,,,0,0
1870,1908.year,0,0,,,0,0
1870,1909.year,0,0,,,0,0
1870,1910.year,0,0,,,0,0
1870,1911.year,0,0,,,0,0
1870,1912.year,0,0,,,0,0
1870,1913.year,0,0,,,0,0
1870,1914.year,0,0,,,0,0
1870,1915.year,0,0,,,0,0
1870,1916.year,0,0,,,0,0
1870,1917.year,0,0,,,0,0
1870,1918.year,0,0,,,0,0
1870,1919.year,0,0,,,0,0
1870,1920.year,0,0,,,0,0
1870,1921.year,0,0,,,0,0
1870,1922.year,0,0,,,0,0
1870,1923.year,0,0,,,0,0
1870,1924.year,0,0,,,0,0
1870,1925.year,0,0,,,0,0
1870,1926.year,0,0,,,0,0
1870,1927.year,0,0,,,0,0
1870,1928.year,0,0,,,0,0
1870,1929.year,0,0,,,0,0
1870,1930.year,0,0,,,0,0
1870,1931.year,0,0,,,0,0
1870,1932.year,0,0,,,0,0
1870,1933.year,0,0,,,0,0
1870,1934.year,0,0,,,0,0
1870,1935.year,0,0,,,0,0
1870,1936.year,0,0,,,0,0
1870,1937.year,0,0,,,0,0
1870,1938.year,0,0,,,0,0
1870,1939.year,0,0,,,0,0
1870,1940.year,0,0,,,0,0
1870,1941.year,0,0,,,0,0
1870,1942.year,0,0,,,0,0
1870,1943.year,0,0,,,0,0
1870,1944.year,0,0,,,0,0
1870,1945.year,0,0,,,0,0
1870,1946.year,0,0,,,0,0
1870,1947.year,0,0,,,0,0
1870,1948.year,0,0,,,0,0
1870,1949.year,0,0,,,0,0
1870,1950.year,0,0,,,0,0
1870,1951.year,0,0,,,0,0
1870,1952.year,0,0,,,0,0
1870,1953.year,0,0,,,0,0
1870,1954.year,0,0,,,0,0
1870,1955.year,0,0,,,0,0
1870,1956.year,0,0,,,0,0
1870,1957.year,0,0,,,0,0
1870,1958.year,0,0,,,0,0
1870,1959.year,0,0,,,0,0
1870,1960.year,0,0,,,0,0
1870,1961.year,0,0,,,0,0
1870,1962.year,0,0,,,0,0
1870,1963.year,0,0,,,0,0
1870,1964.year,0,0,,,0,0
1870,1965.year,0,0,,,0,0
1870,1966.year,0,0,,,0,0
1870,1967.year,0,0,,,0,0
1870,1968.year,0,0,,,0,0
1870,1969.year,0,0,,,0,0
1870,1970.year,0,0,,,0,0
1870,1971.year,0,0,,,0,0
1870,1972.year,0,0,,,0,0
1870,1973.year,0,0,,,0,0
1870,1974.year,0,0,,,0,0
1870,1975.year,0,0,,,0,0
1870,1976.year,0,0,,,0,0
1870,1977.year,0,0,,,0,0
1870,1978.year,0,0,,,0,0
1870,1979.year,0,0,,,0,0
1870,1980.year,0,0,,,0,0
1870,1981.year,0,0,,,0,0
1870,1982.year,0,0,,,0,0
1870,1983.year,0,0,,,0,0
1870,1984.year,0,0,,,0,0
1870,1985.year,0,0,,,0,0
1870,1986.year,0,0,,,0,0
1870,1987.year,0,0,,,0,0
1870,1988.year,0,0,,,0,0
1870,1989.year,0,0,,,0,0
1870,1990.year,0,0,,,0,0
1870,1991.year,0,0,,,0,0
1870,1992.year,0,0,,,0,0
1870,1993.year,0,0,,,0,0
1870,1994.year,0,0,,,0,0
1870,1995.year,0,0,,,0,0
1870,1996.year,0,0,,,0,0
1870,1997.year,0,0,,,0,0
1870,1998.year,0,0,,,0,0
1870,1999.year,0,0,,,0,0
1870,2000.year,0,0,,,0,0
1870,2001.year,0,0,,,0,0
1870,2002.year,0,0,,,0,0
1870,2003.year,0,0,,,0,0
1870,2004.year,0,0,,,0,0
1870,2005.year,0,0,,,0,0
1870,2006.year,0,0,,,0,0
1870,2007.year,0,0,,,0,0
1870,2008.year,0,0,,,0,0
1870,2009.year,0,0,,,0,0
1870,2010.year,0,0,,,0,0
1870,2011.year,0,0,,,0,0
1870,2012.year,0,0,,,0,0
1870,2013.year,0,0,,,0,0
1870,2014.year,0,0,,,0,0
1870,2015.year,0,0,,,0,0
1870,2016.year,0,0,,,0,0
1870,2017.year,0,0,,,0,0
1870,2018.year,0,0,,,0,0
1870,2019.year,0,0,,,0,0
1870,2020.year,0,0,,,0,0
1870,2021.year,0,0,,,0,0
1870,2022.year,0,0,,,0,0
1870,2023.year,0,0,,,0,0
1870,2024.year,0,0,,,0,0
1870,2025.year,0,0,,,0,0
1870,2026.year,0,0,,,0,0
1870,2027.year,0,0,,,0,0
1870,2028.year,0,0,,,0,0
1870,2029.year,0,0,,,0,0
1870,2030.year,0,0,,,0,0
1875,1866.year,0,0,,,0,0
1875,1867.year,0,0,,,0,0
1875,1868.year,0,0,,,0,0
1875,1869.year,0,0,,,0,0
1875,1870.year,0,0,,,0,0
1875,1871.year,0,0,,,0,0
1875,1872.year,0,0,,,0,0
1875,1873.year,0,0,,,0,0
1875,1874.year,0,0,,,0,0
1875,1875.year,0,0,,,0,0
1875,1876.year,0,0,,,0,0
1875,1877.year,0,0,,,0,0
1875,1878.year,0,0,,,0,0
1875,1879.year,0,0,,,0,0
1875,1880.year,0,0,,,0,0
1875,1881.year,0,0,,,0,0
1875,1882.year,0,0,,,0,0
1875,1883.year,0,0,,,0,0
1875,1884.year,0,0,,,0,0
1875,1885.year,0,0,,,0,0
1875,1886.year,0,0,,,0,0
1875,1887.year,0,0,,,0,0
1875,1888.year,0,0,,,0,0
1875,1889.year,0,0,,,0,0
1875,1890.year,0,0,,,0,0
1875,1891.year,0,0,,,0,0
1875,1892.year,0,0,,,0,0
1875,1893.year,0,0,,,0,0
1875,1894.year,0,0,,,0,0
1875,1895.year,0,0,,,0,0
1875,1896.year,0,0,,,0,0
1875,1897.year,0,0,,,0,0
1875,1898.year,0,0,,,0,0
1875,1899.year,0,0,,,0,0
1875,1900.year,0,0,,,0,0
1875,1901.year,0,0,,,0,0
1875,1902.year,0,0,,,0,0
1875,1903.year,0,0,,,0,0
1875,1904.year,0,0,,,0,0
1875,1905.year,0,0,,,0,0
1875,1906.year,0,0,,,0,0
1875,1907.year,0,0,,,0,0
1875,1908.year,0,0,,,0,0
1875,1909.year,0,0,,,0,0
1875,1910.year,0,0,,,0,0
1875,1911.year,0,0,,,0,0
1875,1912.year,0,0,,,0,0
1875,1913.year,0,0,,,0,0
1875,1914.year,0,0,,,0,0
1875,1915.year,0,0,,,0,0
1875,1916.year,0,0,,,0,0
1875,1917.year,0,0,,,0,0
1875,1918.year,0,0,,,0,0
1875,1919.year,0,0,,,0,0
1875,1920.year,0,0,,,0,0
1875,1921.year,0,0,,,0,0
1875,1922.year,0,0,,,0,0
1875,1923.year,0,0,,,0,0
1875,1924.year,0,0,,,0,0
1875,1925.year,0,0,,,0,0
1875,1926.year,0,0,,,0,0
1875,1927.year,0,0,,,0,0
1875,1928.year,0,0,,,0,0
1875,1929.year,0,0,,,0,0
1875,1930.year,0,0,,,0,0
1875,1931.year,0,0,,,0,0
1875,1932.year,0,0,,,0,0
1875,1933.year,0,0,,,0,0
1875,1934.year,0,0,,,0,0
1875,1935.year,0,0,,,0,0
1875,1936.year,0,0,,,0,0
1875,1937.year,0,0,,,0,0
1875,1938.year,0,0,,,0,0
1875,1939.year,0,0,,,0,0
1875,1940.year,0,0,,,0,0
1875,1941.year,0,0,,,0,0
1875,1942.year,0,0,,,0,0
