eq,parm,estimate,stderr,z,p,min95,max95
1910,1906.year,0,0,,,0,0
1910,1907.year,0,0,,,0,0
1910,1908.year,0,0,,,0,0
1910,1909.year,0,0,,,0,0
1910,1910.year,0,0,,,0,0
1910,1911.year,0,0,,,0,0
1910,1912.year,0,0,,,0,0
1910,1913.year,0,0,,,0,0
1910,1914.year,0,0,,,0,0
1910,1915.year,0,0,,,0,0
1910,1916.year,0,0,,,0,0
1910,1917.year,0,0,,,0,0
1910,1918.year,0,0,,,0,0
1910,1919.year,0,0,,,0,0
1910,1920.year,0,0,,,0,0
1910,1925.year,0,0,,,0,0
1910,1926.year,0,0,,,0,0
1910,1927.year,0,0,,,0,0
1910,1928.year,0,0,,,0,0
1910,1929.year,0,0,,,0,0
1910,1930.year,0,0,,,0,0
1910,1931.year,0,0,,,0,0
1910,1932.year,0,0,,,0,0
1910,1933.year,0,0,,,0,0
1910,1934.year,0,0,,,0,0
1910,1935.year,0,0,,,0,0
1910,1936.year,0,0,,,0,0
1910,1937.year,0,0,,,0,0
1910,1938.year,0,0,,,0,0
1910,1939.year,0,0,,,0,0
1910,1940.year,0,0,,,0,0
1910,1945.year,0,0,,,0,0
1910,1946.year,0,0,,,0,0
1910,1947.year,0,0,,,0,0
1910,1948.year,0,0,,,0,0
1910,1949.year,0,0,,,0,0
1910,1950.year,0,0,,,0,0
1910,1951.year,0,0,,,0,0
1910,1952.year,0,0,,,0,0
1910,1953.year,0,0,,,0,0
1910,1954.year,0,0,,,0,0
1910,1955.year,0,0,,,0,0
1910,1956.year,0,0,,,0,0
1910,1957.year,0,0,,,0,0
1910,1958.year,0,0,,,0,0
1910,1959.year,0,0,,,0,0
1910,1960.year,0,0,,,0,0
1910,1961.year,0,0,,,0,0
1910,1962.year,0,0,,,0,0
1910,1963.year,0,0,,,0,0
1910,1964.year,0,0,,,0,0
1910,1965.year,0,0,,,0,0
1910,1966.year,0,0,,,0,0
1910,1967.year,0,0,,,0,0
1910,1968.year,0,0,,,0,0
1910,1969.year,0,0,,,0,0
1910,1970.year,0,0,,,0,0
1910,1971.year,0,0,,,0,0
1910,1972.year,0,0,,,0,0
1910,1973.year,0,0,,,0,0
1910,1974.year,0,0,,,0,0
1910,1975.year,0,0,,,0,0
1910,1976.year,0,0,,,0,0
1910,1977.year,0,0,,,0,0
1910,1978.year,0,0,,,0,0
1910,1979.year,0,0,,,0,0
1910,1980.year,0,0,,,0,0
1910,1981.year,0,0,,,0,0
1910,1982.year,0,0,,,0,0
1910,1983.year,0,0,,,0,0
1910,1984.year,0,0,,,0,0
1910,1985.year,0,0,,,0,0
1910,1986.year,0,0,,,0,0
1910,1987.year,0,0,,,0,0
1910,1988.year,0,0,,,0,0
1910,1989.year,0,0,,,0,0
1910,1990.year,0,0,,,0,0
1910,1991.year,0,0,,,0,0
1910,1992.year,0,0,,,0,0
1910,1993.year,0,0,,,0,0
1910,1994.year,0,0,,,0,0
1910,1995.year,0,0,,,0,0
1910,1996.year,0,0,,,0,0
1910,1997.year,0,0,,,0,0
1910,1998.year,0,0,,,0,0
1910,1999.year,0,0,,,0,0
1910,2000.year,0,0,,,0,0
1910,2001.year,0,0,,,0,0
1910,2002.year,0,0,,,0,0
1910,2003.year,0,0,,,0,0
1910,2004.year,0,0,,,0,0
1910,2005.year,0,0,,,0,0
1910,2006.year,0,0,,,0,0
1910,2007.year,0,0,,,0,0
1910,2008.year,0,0,,,0,0
1910,2009.year,0,0,,,0,0
1910,2010.year,0,0,,,0,0
1910,2011.year,0,0,,,0,0
1910,2012.year,0,0,,,0,0
1910,2013.year,0,0,,,0,0
1910,2014.year,0,0,,,0,0
1910,2015.year,0,0,,,0,0
1910,2016.year,0,0,,,0,0
1910,2017.year,0,0,,,0,0
1910,2018.year,0,0,,,0,0
1910,2019.year,0,0,,,0,0
1910,2020.year,0,0,,,0,0
1910,2021.year,0,0,,,0,0
1910,2022.year,0,0,,,0,0
1910,2023.year,0,0,,,0,0
1910,2024.year,0,0,,,0,0
1910,2025.year,0,0,,,0,0
1910,2026.year,0,0,,,0,0
1910,2027.year,0,0,,,0,0
1910,2028.year,0,0,,,0,0
1910,2029.year,0,0,,,0,0
1910,2030.year,0,0,,,0,0
1930,1906.year,0,0,,,0,0
1930,1907.year,0,0,,,0,0
1930,1908.year,0,0,,,0,0
1930,1909.year,0,0,,,0,0
1930,1910.year,0,0,,,0,0
1930,1911.year,0,0,,,0,0
1930,1912.year,0,0,,,0,0
1930,1913.year,0,0,,,0,0
1930,1914.year,0,0,,,0,0
1930,1915.year,0,0,,,0,0
1930,1916.year,0,0,,,0,0
1930,1917.year,0,0,,,0,0
1930,1918.year,0,0,,,0,0
1930,1919.year,0,0,,,0,0
1930,1920.year,0,0,,,0,0
1930,1925.year,0,0,,,0,0
1930,1926.year,2.428571428571427,.5727026612409107,4.240545038343788,.0000222977686983,1.306094838688999,3.551048018453855
1930,1927.year,3.333333333333333,.2571722499368209,12.96148139681567,2.02302495058e-38,2.829284985634031,3.837381681032635
1930,1928.year,3.052631578947368,.059765786732386,51.07657316745744,0,2.93549278944419,3.169770368450546
1930,1929.year,15.35714285714286,.7489059075137767,20.50610457610838,1.89908669300e-93,13.88931425060657,16.82497146367914
1930,1930.year,10,8.79251776863e-15,1137330655808174,0,9.999999999999982,10.00000000000002
1930,1931.year,22,4.37286957758e-14,503102130298528.1,0,21.99999999999991,22.00000000000009
1930,1932.year,56,7.03401421490e-14,796131459065721.6,0,55.99999999999987,56.00000000000014
1930,1933.year,70,1.94070541450e-13,360693588407755.8,0,69.99999999999962,70.00000000000038
1930,1934.year,100,1.30631692562e-13,765511018332424.6,0,99.99999999999974,100.0000000000003
1930,1935.year,134,4.20480023762e-14,3186833914277348,0,133.9999999999999,134.0000000000001
1930,1936.year,163,1.15558804959e-13,1410537258996876,0,162.9999999999998,163.0000000000002
1930,1937.year,208,1.17615750790e-13,1768470622365246,0,207.9999999999998,208.0000000000002
1930,1938.year,231,3.95102653512e-13,584658184263173,0,230.9999999999992,231.0000000000008
1930,1939.year,236,5.99725008385e-13,393513688274187.6,0,235.9999999999988,236.0000000000012
1930,1940.year,252,3.73018018206e-13,675570582922022.4,0,251.9999999999993,252.0000000000007
1930,1945.year,0,0,,,0,0
1930,1946.year,0,0,,,0,0
1930,1947.year,0,0,,,0,0
1930,1948.year,0,0,,,0,0
1930,1949.year,0,0,,,0,0
1930,1950.year,0,0,,,0,0
1930,1951.year,0,0,,,0,0
1930,1952.year,0,0,,,0,0
1930,1953.year,0,0,,,0,0
1930,1954.year,0,0,,,0,0
1930,1955.year,0,0,,,0,0
1930,1956.year,0,0,,,0,0
1930,1957.year,0,0,,,0,0
1930,1958.year,0,0,,,0,0
1930,1959.year,0,0,,,0,0
1930,1960.year,0,0,,,0,0
1930,1961.year,0,0,,,0,0
1930,1962.year,0,0,,,0,0
1930,1963.year,0,0,,,0,0
1930,1964.year,0,0,,,0,0
1930,1965.year,0,0,,,0,0
1930,1966.year,0,0,,,0,0
1930,1967.year,0,0,,,0,0
1930,1968.year,0,0,,,0,0
1930,1969.year,0,0,,,0,0
1930,1970.year,0,0,,,0,0
1930,1971.year,0,0,,,0,0
1930,1972.year,0,0,,,0,0
1930,1973.year,0,0,,,0,0
1930,1974.year,0,0,,,0,0
1930,1975.year,0,0,,,0,0
1930,1976.year,0,0,,,0,0
1930,1977.year,0,0,,,0,0
1930,1978.year,0,0,,,0,0
1930,1979.year,0,0,,,0,0
1930,1980.year,0,0,,,0,0
1930,1981.year,0,0,,,0,0
1930,1982.year,0,0,,,0,0
1930,1983.year,0,0,,,0,0
1930,1984.year,0,0,,,0,0
1930,1985.year,0,0,,,0,0
1930,1986.year,0,0,,,0,0
1930,1987.year,0,0,,,0,0
1930,1988.year,0,0,,,0,0
1930,1989.year,0,0,,,0,0
1930,1990.year,0,0,,,0,0
1930,1991.year,0,0,,,0,0
1930,1992.year,0,0,,,0,0
1930,1993.year,0,0,,,0,0
1930,1994.year,0,0,,,0,0
1930,1995.year,0,0,,,0,0
1930,1996.year,0,0,,,0,0
1930,1997.year,0,0,,,0,0
1930,1998.year,0,0,,,0,0
1930,1999.year,0,0,,,0,0
1930,2000.year,0,0,,,0,0
1930,2001.year,0,0,,,0,0
1930,2002.year,0,0,,,0,0
1930,2003.year,0,0,,,0,0
1930,2004.year,0,0,,,0,0
1930,2005.year,0,0,,,0,0
1930,2006.year,0,0,,,0,0
1930,2007.year,0,0,,,0,0
1930,2008.year,0,0,,,0,0
