eq,parm,estimate,stderr,z,p,min95,max95
1910,1906.year,0,0,,,0,0
1910,1907.year,0,0,,,0,0
1910,1908.year,2,0,,,2,2
1910,1909.year,1,0,,,1,1
1910,1910.year,3,0,,,3,3
1910,1911.year,4,0,,,4,4
1910,1912.year,11,0,,,11,11
1910,1913.year,11,0,,,11,11
1910,1914.year,11,0,,,11,11
1910,1915.year,11,0,,,11,11
1910,1916.year,11,0,,,11,11
1910,1917.year,11,0,,,11,11
1910,1918.year,11,0,,,11,11
1910,1919.year,13,0,,,13,13
1910,1920.year,14,0,,,14,14
1910,1925.year,0,0,,,0,0
1910,1926.year,0,0,,,0,0
1910,1927.year,0,0,,,0,0
1910,1928.year,0,0,,,0,0
1910,1929.year,0,0,,,0,0
1910,1930.year,0,0,,,0,0
1910,1931.year,0,0,,,0,0
1910,1932.year,0,0,,,0,0
1910,1933.year,0,0,,,0,0
1910,1934.year,0,0,,,0,0
1910,1935.year,0,0,,,0,0
1910,1936.year,0,0,,,0,0
1910,1937.year,0,0,,,0,0
1910,1938.year,0,0,,,0,0
1910,1939.year,0,0,,,0,0
1910,1940.year,0,0,,,0,0
1910,1945.year,0,0,,,0,0
1910,1946.year,0,0,,,0,0
1910,1947.year,0,0,,,0,0
1910,1948.year,0,0,,,0,0
1910,1949.year,0,0,,,0,0
1910,1950.year,0,0,,,0,0
1910,1951.year,0,0,,,0,0
1910,1952.year,0,0,,,0,0
1910,1953.year,0,0,,,0,0
1910,1954.year,0,0,,,0,0
1910,1955.year,0,0,,,0,0
1910,1956.year,0,0,,,0,0
1910,1957.year,0,0,,,0,0
1910,1958.year,0,0,,,0,0
1910,1959.year,0,0,,,0,0
1910,1960.year,0,0,,,0,0
1910,1961.year,0,0,,,0,0
1910,1962.year,0,0,,,0,0
1910,1963.year,0,0,,,0,0
1910,1964.year,0,0,,,0,0
1910,1965.year,0,0,,,0,0
1910,1966.year,0,0,,,0,0
1910,1967.year,0,0,,,0,0
1910,1968.year,0,0,,,0,0
1910,1969.year,0,0,,,0,0
1910,1970.year,0,0,,,0,0
1910,1971.year,0,0,,,0,0
1910,1972.year,0,0,,,0,0
1910,1973.year,0,0,,,0,0
1910,1974.year,0,0,,,0,0
1910,1975.year,0,0,,,0,0
1910,1976.year,0,0,,,0,0
1910,1977.year,0,0,,,0,0
1910,1978.year,0,0,,,0,0
1910,1979.year,0,0,,,0,0
1910,1980.year,0,0,,,0,0
1910,1981.year,0,0,,,0,0
1910,1982.year,0,0,,,0,0
1910,1983.year,0,0,,,0,0
1910,1984.year,0,0,,,0,0
1910,1985.year,0,0,,,0,0
1910,1986.year,0,0,,,0,0
1910,1987.year,0,0,,,0,0
1910,1988.year,0,0,,,0,0
1910,1989.year,0,0,,,0,0
1910,1990.year,0,0,,,0,0
1910,1991.year,0,0,,,0,0
1910,1992.year,0,0,,,0,0
1910,1993.year,0,0,,,0,0
1910,1994.year,0,0,,,0,0
1910,1995.year,0,0,,,0,0
1910,1996.year,0,0,,,0,0
1910,1997.year,0,0,,,0,0
1910,1998.year,0,0,,,0,0
1910,1999.year,0,0,,,0,0
1910,2000.year,0,0,,,0,0
1910,2001.year,0,0,,,0,0
1910,2002.year,0,0,,,0,0
1910,2003.year,0,0,,,0,0
1910,2004.year,0,0,,,0,0
1910,2005.year,0,0,,,0,0
1910,2006.year,0,0,,,0,0
1910,2007.year,0,0,,,0,0
1910,2008.year,0,0,,,0,0
1910,2009.year,0,0,,,0,0
1910,2010.year,0,0,,,0,0
1910,2011.year,0,0,,,0,0
1910,2012.year,0,0,,,0,0
1910,2013.year,0,0,,,0,0
1910,2014.year,0,0,,,0,0
1910,2015.year,0,0,,,0,0
1910,2016.year,0,0,,,0,0
1910,2017.year,0,0,,,0,0
1910,2018.year,0,0,,,0,0
1910,2019.year,0,0,,,0,0
1910,2020.year,0,0,,,0,0
1910,2021.year,0,0,,,0,0
1910,2022.year,0,0,,,0,0
1910,2023.year,0,0,,,0,0
1910,2024.year,0,0,,,0,0
1910,2025.year,0,0,,,0,0
1910,2026.year,0,0,,,0,0
1910,2027.year,0,0,,,0,0
1910,2028.year,0,0,,,0,0
1910,2029.year,0,0,,,0,0
1910,2030.year,0,0,,,0,0
1930,1906.year,0,0,,,0,0
1930,1907.year,0,0,,,0,0
1930,1908.year,0,0,,,0,0
1930,1909.year,0,0,,,0,0
1930,1910.year,0,0,,,0,0
1930,1911.year,0,0,,,0,0
1930,1912.year,0,0,,,0,0
1930,1913.year,0,0,,,0,0
1930,1914.year,0,0,,,0,0
1930,1915.year,0,0,,,0,0
1930,1916.year,0,0,,,0,0
1930,1917.year,0,0,,,0,0
1930,1918.year,0,0,,,0,0
1930,1919.year,0,0,,,0,0
1930,1920.year,0,0,,,0,0
1930,1925.year,0,0,,,0,0
1930,1926.year,1.333333333333333,5.682983045575307,.2346185661017321,.8145047980682163,-9.805108760746016,12.47177542741268
1930,1927.year,10.3953488372093,1.109668092805011,9.367980303851049,7.39336858217e-21,8.220439340518229,12.57025833390037
1930,1928.year,-4.875,2.770285033469782,-1.759746719598041,.0784507605293996,-10.30465889251111,.5546588925111102
1930,1929.year,-4.261904761904763,.5129912532540184,-8.307948205491899,9.73710092456e-17,-5.267349142666705,-3.256460381142821
1930,1930.year,1.529850746268655,1.554423034194645,.9841920201994938,.3250211085905099,-1.516762417492322,4.576463910029632
1930,1931.year,22.41044776119403,4.663269102583929,4.805737620583882,1.54181993297e-06,13.27060826991111,31.55028725247695
1930,1932.year,32.35074626865672,7.772115170973224,4.16241210494128,.0000314903369792,17.11768044985184,47.5838120874616
1930,1933.year,39.61194029850746,5.329450402953063,7.432650142791155,1.06443170024e-13,29.16640945132698,50.05747114568794
1930,1934.year,47.40298507462687,1.33236260073827,35.57814145215468,3.0516575726e-277,44.79160236283174,50.014367786422
1930,1935.year,55.66417910447761,1.110302167281894,50.1342614152937,0,53.48802684464833,57.84033136430689
1930,1936.year,65.24626865671644,9.104477771711476,7.166393316862514,7.69993506143e-13,47.40182012611646,83.09071718731641
1930,1937.year,72.03731343283582,13.10156557392627,5.498374451996709,3.83308298847e-08,46.35871676685049,97.71591009882114
1930,1938.year,75.35820895522389,18.65307641033576,4.039988219501828,.0000534538863113,38.79885099009213,111.9175669203556
1930,1939.year,86.08955223880599,19.54131814416125,4.405514080662399,.0000105533296267,47.78927246581087,124.3898320118011
1930,1940.year,87.08955223880599,19.54131814416125,4.456687701224878,8.32357230648e-06,48.78927246581087,125.3898320118011
1930,1945.year,0,0,,,0,0
1930,1946.year,0,0,,,0,0
1930,1947.year,0,0,,,0,0
1930,1948.year,0,0,,,0,0
1930,1949.year,0,0,,,0,0
1930,1950.year,0,0,,,0,0
1930,1951.year,0,0,,,0,0
1930,1952.year,0,0,,,0,0
1930,1953.year,0,0,,,0,0
1930,1954.year,0,0,,,0,0
1930,1955.year,0,0,,,0,0
1930,1956.year,0,0,,,0,0
1930,1957.year,0,0,,,0,0
1930,1958.year,0,0,,,0,0
1930,1959.year,0,0,,,0,0
1930,1960.year,0,0,,,0,0
1930,1961.year,0,0,,,0,0
1930,1962.year,0,0,,,0,0
1930,1963.year,0,0,,,0,0
1930,1964.year,0,0,,,0,0
1930,1965.year,0,0,,,0,0
1930,1966.year,0,0,,,0,0
1930,1967.year,0,0,,,0,0
1930,1968.year,0,0,,,0,0
1930,1969.year,0,0,,,0,0
1930,1970.year,0,0,,,0,0
1930,1971.year,0,0,,,0,0
1930,1972.year,0,0,,,0,0
1930,1973.year,0,0,,,0,0
1930,1974.year,0,0,,,0,0
1930,1975.year,0,0,,,0,0
1930,1976.year,0,0,,,0,0
1930,1977.year,0,0,,,0,0
1930,1978.year,0,0,,,0,0
1930,1979.year,0,0,,,0,0
1930,1980.year,0,0,,,0,0
1930,1981.year,0,0,,,0,0
1930,1982.year,0,0,,,0,0
1930,1983.year,0,0,,,0,0
1930,1984.year,0,0,,,0,0
1930,1985.year,0,0,,,0,0
1930,1986.year,0,0,,,0,0
1930,1987.year,0,0,,,0,0
1930,1988.year,0,0,,,0,0
1930,1989.year,0,0,,,0,0
1930,1990.year,0,0,,,0,0
1930,1991.year,0,0,,,0,0
1930,1992.year,0,0,,,0,0
1930,1993.year,0,0,,,0,0
1930,1994.year,0,0,,,0,0
1930,1995.year,0,0,,,0,0
1930,1996.year,0,0,,,0,0
1930,1997.year,0,0,,,0,0
1930,1998.year,0,0,,,0,0
1930,1999.year,0,0,,,0,0
1930,2000.year,0,0,,,0,0
1930,2001.year,0,0,,,0,0
